date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:47	18343/18343	---MCZ	200	added ('OK')	text/html	etag:W/%22473c78ac9104acad34464b35206cd09d%22	http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/20784360	C:/My%20Web%20Sites/CoderDojo%20-%20TNJ/preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/20784360.html	(from )
11:17:47	1/1	---M--	200	added ('OK')	text/plain	etag:%225a86f197-1%22	http://preview.themeforest.net/robots.txt		(from )
11:17:48	0/0	---MC-	410	error ('Gone')	text/plain	date:Sun,%2018%20Feb%202018%2005:47:46%20GMT	http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/&quot;https://i0.wp.com/www.codexcoder.com/images/promo-banner/offer/tefity-offer-ban...%22	C:/My%20Web%20Sites/CoderDojo%20-%20TNJ/preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/&quot;https_/i0.wp.com/www.codexcoder.com/images/promo-banner/offer/tefity-offer-ban..._	(from http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/20784360)
11:17:49	194599/194599	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Feb%202018%2008:23:42%20GMT	https://public-assets.envato-static.com/assets/market/core/index-937cb6900ff84e7951c64fd108280eaf8428efbe7a7a5fdbdeb3f0242637479e.css	C:/My%20Web%20Sites/CoderDojo%20-%20TNJ/public-assets.envato-static.com/assets/market/core/index-937cb6900ff84e7951c64fd108280eaf8428efbe7a7a5fdbdeb3f0242637479e.css	(from http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/20784360)
11:17:50	1977/1977	---MCZ	200	added ('OK')	text/css	date:Thu,%2007%20Dec%202017%2003:46:20%20GMT	https://public-assets.envato-static.com/assets/market/pages/preview/index-6da503d08aa5f43ac39ce104f6cabc796ea21e19547d1d8b441cb073c2e88d01.css	C:/My%20Web%20Sites/CoderDojo%20-%20TNJ/public-assets.envato-static.com/assets/market/pages/preview/index-6da503d08aa5f43ac39ce104f6cabc796ea21e19547d1d8b441cb073c2e88d01.css	(from http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/20784360)
11:17:50	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/CoderDojo%20-%20TNJ/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/20784360)
11:17:50	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/CoderDojo%20-%20TNJ/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/20784360)
11:17:51	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/CoderDojo%20-%20TNJ/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/20784360)
11:17:51	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/My%20Web%20Sites/CoderDojo%20-%20TNJ/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/20784360)
11:17:52	0/0	---MC-	410	error ('Gone')	text/plain	date:Sun,%2018%20Feb%202018%2005:47:50%20GMT	http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/linkid.js	C:/My%20Web%20Sites/CoderDojo%20-%20TNJ/preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/linkid.js	(from http://preview.themeforest.net/item/tefiti-environmental-ecology-responsive-wordpress-theme/full_screen_preview/20784360)
